Sat Jul 09 01:44:41 +0000 2016,1468028681417,751592881039745025,ursulaTiako,Gastroenteritis,29.6775,-81.4611,All these blessings coming my way but then I look at the news and can't stay happy. It makes me sick to my stomach
Sat Jul 09 01:44:46 +0000 2016,1468028686849,751592903823093760,chopsritchie,Pneumonia,29.6775,-81.4611,when your sick for two weeks &amp; then find out it was pneumonia in my lungs.oopsies
Sat Jul 09 01:44:56 +0000 2016,1468028696557,751592944541458432,LongoBrooke,Gastroenteritis,29.6775,-81.4611,Times like these make my heart hurt and my stomach sick.
Sat Jul 09 01:45:09 +0000 2016,1468028709826,751593000195743744,LickableKicks,Influenza,29.6775,-81.4611,https://t.co/lB2FGx6JzI jordan 12 flu game https://t.co/hkLLhirDP6
Sat Jul 09 01:45:20 +0000 2016,1468028720157,751593043527077888,Laurenhurd1,Gastroenteritis,29.6775,-81.4611,sick to my stomach
Sat Jul 09 01:45:34 +0000 2016,1468028734832,751593105078509568,Almajhdi,Influenza,29.6775,-81.4611,Low-path H5 avian flu strikes Canadian duck farm https://t.co/YYErRD4n2b
Sat Jul 09 01:45:36 +0000 2016,1468028736432,751593111789461505,hqayinz,Influenza,29.6775,-81.4611,I think i got the flu https://t.co/60WQXBo2QA
Sat Jul 09 01:45:44 +0000 2016,1468028744559,751593145876512768,iMughalMunaf,Influenza,29.6775,-81.4611,"Bird flu confirmed on Ontario farm, 14,000 ducks to be killed https://t.co/6X8cMr4ITZ https://t.co/5al2jiRfpB"
Sat Jul 09 01:45:58 +0000 2016,1468028758096,751593202654773248,_AllyMorris,Gastroenteritis,29.6775,-81.4611,Starting to get sick an tired of this illness 🙅🏽🖕🏽😩
Sat Jul 09 01:46:00 +0000 2016,1468028760665,751593213429886976,jamiexrf,Gastroenteritis,29.6775,-81.4611,I've never been so sick to my stomach that I've actually thrown up until now lol
Sat Jul 09 01:46:15 +0000 2016,1468028775366,751593275090427906,theAmazonChef,Influenza,29.6775,-81.4611,https://t.co/YRjIkIGsQV #style Jordan 4 Iv FG Rare Not flu game or yeezy
Sat Jul 09 01:46:24 +0000 2016,1468028784343,751593312742670336,BlogForTheCause,Influenza,29.6775,-81.4611,https://t.co/oE1gtMgdPY #Shoes Jordan 4 Iv FG Rare Not flu game or yeezy https://t.co/gibbcJYS9N
Sat Jul 09 01:46:31 +0000 2016,1468028791189,751593341456773120,iMxnnie,Influenza,29.6775,-81.4611,@SxnakePrxcess_ (-)para su fortuna la red flu estaba habilitada por lo que no dudó en usarla y aparecer en la casa de sus abuelos; (+)
Sat Jul 09 01:46:39 +0000 2016,1468028799861,751593377829969920,HermNCrab,Influenza,29.6775,-81.4611,https://t.co/Fsp7Nu3sal Jordan 4 Iv FG Rare Not flu game or yeezy
Sat Jul 09 01:46:40 +0000 2016,1468028800381,751593380010815488,EmilyFryberg,Gastroenteritis,29.6775,-81.4611,"Everytime, every fucking time I feel sick to my stomach and wanna ball my eyes out"
Sat Jul 09 01:46:44 +0000 2016,1468028804535,751593397434146816,ModernTravelBro,Influenza,29.6775,-81.4611,https://t.co/fkQp7RSxpD jordan 12 flu game
Sat Jul 09 01:46:59 +0000 2016,1468028819330,751593459488817152,ModernOwners,Influenza,29.6775,-81.4611,https://t.co/T2IDQ5r418 #shoes Jordan 4 Iv FG Rare Not flu game or yeezy https://t.co/VZJP5kRFId
Sat Jul 09 01:47:11 +0000 2016,1468028831711,751593511418486784,ModernShoppingZ,Influenza,29.6775,-81.4611,https://t.co/1IG8h8VroG #shoes jordan 12 flu game
Sat Jul 09 01:47:24 +0000 2016,1468028844946,751593566930104320,klj_12,Gastroenteritis,29.6775,-81.4611,The Purge was such a good movie. Made me sick to my stomach though and not from the blood and gore either.
Sat Jul 09 01:47:46 +0000 2016,1468028866957,751593659250847744,ShellyMak10,Influenza,29.6775,-81.4611,"Bird flu confirmed on Ontario farm, 14,000 ducks to be killed https://t.co/DXs9ecCOEd"
Sat Jul 09 01:47:47 +0000 2016,1468028867746,751593662560276480,MSUCVM,Influenza,29.6775,-81.4611,Research that could improve flu vaccine development - that's what's happening at MSU-CVM. #WeRingTrue https://t.co/fJ8iVPtCrs
Sat Jul 09 01:48:13 +0000 2016,1468028893750,751593771628920832,YeezyMall,Influenza,29.6775,-81.4611,#Shoes #Yeezy https://t.co/rqwGNFkzXo Jordan 4 Iv FG Rare Not flu game or yeezy https://t.co/S7NwOwAdGG
Sat Jul 09 01:48:13 +0000 2016,1468028893911,751593772304076801,kennedyx_,Gastroenteritis,29.6775,-81.4611,it truly makes me sick to my stomach watching TONS of videos w all of the police brutality ..  where's the justice ?  #blacklivesmatter
Sat Jul 09 01:48:19 +0000 2016,1468028899611,751593796211703808,afatb_,Gastroenteritis,29.6775,-81.4611,I'm just scrolling past all these posts about shootings. I can't even look at it for two seconds without feeling sick to my stomach
Sat Jul 09 01:48:20 +0000 2016,1468028900038,751593798002585601,rylee_blade,Gastroenteritis,29.6775,-81.4611,sick to my stomach
Sat Jul 09 01:48:27 +0000 2016,1468028907847,751593830755950592,Noel_vela_13,Gastroenteritis,29.6775,-81.4611,Nevertheless still feeling sick to my fucking stomach
Sat Jul 09 01:48:31 +0000 2016,1468028911685,751593846853754880,trev_barber,Gastroenteritis,29.6775,-81.4611,This shit is making me sick to my stomach
Sat Jul 09 01:48:44 +0000 2016,1468028924619,751593901102817281,AlyssaDaniels17,Meningitis,29.6775,-81.4611,im sick in the brain dumb bitch can you nurse this?
Sat Jul 09 01:49:04 +0000 2016,1468028944915,751593986230513664,SCSA4life,Influenza,29.6775,-81.4611,@JimmySickles Remember that swine flu scare? They came out with a movie called Frankenswine. #LameJokes
Sat Jul 09 01:49:32 +0000 2016,1468028972764,751594103037693952,Marianaaa_Ib,Gastroenteritis,43.025,-108.379,this makes me sick to my stomach https://t.co/g3XbSBBxP0
Sat Jul 09 01:49:52 +0000 2016,1468028992470,751594185690492928,Meowwwissa,Influenza,43.025,-108.379,I hate having flu
Sat Jul 09 01:50:18 +0000 2016,1468029018934,751594296688537600,KyraProulx,Gastroenteritis,43.025,-108.379,"please watch this it explains why telling sick people what to do to ""cure"" their chronic illness makes us so mad https://t.co/85VBtJE1oY"
Sat Jul 09 01:50:20 +0000 2016,1468029020677,751594303999193088,LarriMonet,Gastroenteritis,43.025,-108.379,ThT shxt got me sick to my stomach ... Only worked 2 hours like 😒
Sat Jul 09 01:50:40 +0000 2016,1468029040657,751594387801567232,mek_it_rayn,Pneumonia,43.025,-108.379,walking into stores and seeing school supplies already out makes me sick SUMMER IS NOT OVER WTF
Sat Jul 09 01:50:43 +0000 2016,1468029043458,751594399549624321,B516o_8,Pneumonia,43.025,-108.379,Honestly I really like my job but I know sometime soon I'm gonna get sick of walking and squatting and scanning for 10 hours
Sat Jul 09 01:51:21 +0000 2016,1468029081530,751594559235174400,yoonzora,Influenza,43.025,-108.379,"except palliative meds to tone the flu down, to soothe the throat, to bring down the fever and reduce the cough if there's any"
Sat Jul 09 01:51:57 +0000 2016,1468029117595,751594710502899712,shawshawshaw54,Gastroenteritis,43.025,-108.379,I feel sick to my stomach
Sat Jul 09 01:52:03 +0000 2016,1468029123538,751594735429648384,OrtizTerran,Influenza,43.025,-108.379,@RiceGum the friends hurts so bad it Like getting a flu shot
